store,item,month,dayofweek,year,sales
1,1,1,0,2018,13.803724368374036
1,1,1,1,2018,14.865379866915848
1,1,1,2,2018,15.16231126169304
1,1,1,3,2018,15.212277201769846
1,1,1,4,2018,15.467921137412507
1,1,1,5,2018,16.124114405621434
1,1,1,6,2018,16.23663113639398
1,1,1,0,2018,13.803724368374036
1,1,1,1,2018,14.865379866915848
1,1,1,2,2018,15.16231126169304
1,1,1,3,2018,15.212277201769846
1,1,1,4,2018,15.467921137412507
1,1,1,5,2018,16.124114405621434
1,1,1,6,2018,16.23663113639398
1,1,1,0,2018,13.803724368374036
1,1,1,1,2018,14.865379866915848
1,1,1,2,2018,15.16231126169304
1,1,1,3,2018,15.212277201769846
1,1,1,4,2018,15.467921137412507
1,1,1,5,2018,16.124114405621434
1,1,1,6,2018,16.23663113639398
1,1,1,0,2018,13.803724368374036
1,1,1,1,2018,14.865379866915848
1,1,1,2,2018,15.16231126169304
1,1,1,3,2018,15.212277201769846
1,1,1,4,2018,15.467921137412507
1,1,1,5,2018,16.124114405621434
1,1,1,6,2018,16.23663113639398
1,1,1,0,2018,13.803724368374036
1,1,1,1,2018,14.865379866915848
1,1,1,2,2018,15.16231126169304
1,1,2,3,2018,16.884246988811658
1,1,2,4,2018,17.668632938737513
1,1,2,5,2018,18.690323482212662
1,1,2,6,2018,19.06832740049739
1,1,2,0,2018,14.829071069107323
1,1,2,1,2018,16.283642661088923
1,1,2,2,2018,16.497688376412455
1,1,2,3,2018,16.884246988811658
1,1,2,4,2018,17.668632938737513
1,1,2,5,2018,18.690323482212662
1,1,2,6,2018,19.06832740049739
1,1,2,0,2018,14.829071069107323
1,1,2,1,2018,16.283642661088923
1,1,2,2,2018,16.497688376412455
1,1,2,3,2018,16.884246988811658
1,1,2,4,2018,17.668632938737513
1,1,2,5,2018,18.690323482212662
1,1,2,6,2018,19.06832740049739
1,1,2,0,2018,14.829071069107323
1,1,2,1,2018,16.283642661088923
1,1,2,2,2018,16.497688376412455
1,1,2,3,2018,16.884246988811658
1,1,2,4,2018,17.668632938737513
1,1,2,5,2018,18.690323482212662
1,1,2,6,2018,19.06832740049739
1,1,2,0,2018,14.829071069107323
1,1,2,1,2018,16.283642661088923
1,1,2,2,2018,16.497688376412455
1,1,3,3,2018,20.040730444008215
1,1,3,4,2018,21.364700205919917
1,1,3,5,2018,22.977235865001866
1,1,3,6,2018,23.91530522220355
1,1,3,0,2018,16.51288118471967
1,1,3,1,2018,19.002786227752182
1,1,3,2,2018,19.154043320937934
1,1,3,3,2018,20.040730444008215
1,1,3,4,2018,21.364700205919917
1,1,3,5,2018,22.977235865001866
1,1,3,6,2018,23.91530522220355
1,1,3,0,2018,16.51288118471967
1,1,3,1,2018,19.002786227752182
1,1,3,2,2018,19.154043320937934
1,1,3,3,2018,20.040730444008215
1,1,3,4,2018,21.364700205919917
1,1,3,5,2018,22.977235865001866
1,1,3,6,2018,23.91530522220355
1,1,3,0,2018,16.51288118471967
1,1,3,1,2018,19.002786227752182
1,1,3,2,2018,19.154043320937934
1,1,3,3,2018,20.040730444008215
1,1,3,4,2018,21.364700205919917
1,1,3,5,2018,22.977235865001866
1,1,3,6,2018,23.91530522220355
1,1,3,0,2018,16.51288118471967
1,1,3,1,2018,19.002786227752182
1,1,3,2,2018,19.154043320937934
1,1,3,3,2018,20.040730444008215
1,1,3,4,2018,21.364700205919917
1,1,3,5,2018,22.977235865001866
2,1,1,0,2018,18.252748092374606
2,1,1,1,2018,21.799435185769855
2,1,1,2,2018,22.133146848124458
2,1,1,3,2018,23.60709030193745
2,1,1,4,2018,25.1421181026535
2,1,1,5,2018,27.088414023239626
2,1,1,6,2018,28.49835196132474
2,1,1,0,2018,18.252748092374606
2,1,1,1,2018,21.799435185769855
2,1,1,2,2018,22.133146848124458
2,1,1,3,2018,23.60709030193745
2,1,1,4,2018,25.1421181026535
2,1,1,5,2018,27.088414023239626
2,1,1,6,2018,28.49835196132474
2,1,1,0,2018,18.252748092374606
2,1,1,1,2018,21.799435185769855
2,1,1,2,2018,22.133146848124458
2,1,1,3,2018,23.60709030193745
2,1,1,4,2018,25.1421181026535
2,1,1,5,2018,27.088414023239626
2,1,1,6,2018,28.49835196132474
2,1,1,0,2018,18.252748092374606
2,1,1,1,2018,21.799435185769855
2,1,1,2,2018,22.133146848124458
2,1,1,3,2018,23.60709030193745
2,1,1,4,2018,25.1421181026535
2,1,1,5,2018,27.088414023239626
2,1,1,6,2018,28.49835196132474
2,1,1,0,2018,18.252748092374606
2,1,1,1,2018,21.799435185769855
2,1,1,2,2018,22.133146848124458
2,1,2,3,2018,25.279060088979225
2,1,2,4,2018,27.342829903978462
2,1,2,5,2018,29.654623099830815
2,1,2,6,2018,31.33004822542805
2,1,2,0,2018,19.278094793107915
2,1,2,1,2018,23.2176979799429
2,1,2,2,2018,23.468523962843815
2,1,2,3,2018,25.279060088979225
2,1,2,4,2018,27.342829903978462
2,1,2,5,2018,29.654623099830815
2,1,2,6,2018,31.33004822542805
2,1,2,0,2018,19.278094793107915
2,1,2,1,2018,23.2176979799429
2,1,2,2,2018,23.468523962843815
2,1,2,3,2018,25.279060088979225
2,1,2,4,2018,27.342829903978462
2,1,2,5,2018,29.654623099830815
2,1,2,6,2018,31.33004822542805
2,1,2,0,2018,19.278094793107915
2,1,2,1,2018,23.2176979799429
2,1,2,2,2018,23.468523962843815
2,1,2,3,2018,25.279060088979225
2,1,2,4,2018,27.342829903978462
2,1,2,5,2018,29.654623099830815
2,1,2,6,2018,31.33004822542805
2,1,2,0,2018,19.278094793107915
2,1,2,1,2018,23.2176979799429
